canonical_gene_id	graph_gene_id	label	label_text	regime	positive_sources	construction_bucket	source_manifest	support_from_lethal_positive_list	support_from_protocolized_bridge	supporting_xp_ids	supporting_orthogroup_ids	supporting_bridge_methods	construction_note
fgraminearum::FGRAMPH1_01G00811	FGRAMPH1_01G00811	1	essential	newlabel	lethal	lethal_phi_supported_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv	true	false				Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00813	FGRAMPH1_01G00813	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011315953.1	OG0002737	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00815	FGRAMPH1_01G00815	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011315954.1	OG0002738	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00853	FGRAMPH1_01G00853	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011315972.1	OG0002740	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00861	FGRAMPH1_01G00861	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011315976.1	OG0002741	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00863	FGRAMPH1_01G00863	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011315977.1	OG0002742	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00865	FGRAMPH1_01G00865	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011315978.1	OG0002743	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00879	FGRAMPH1_01G00879	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011315985.1	OG0002744	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00885	FGRAMPH1_01G00885	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011315988.1	OG0002746	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00925	FGRAMPH1_01G00925	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316006.1	OG0002748	ncbi_protein_id_via_unified_map	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00927	FGRAMPH1_01G00927	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316007.1	OG0002749	unified_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00931	FGRAMPH1_01G00931	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316009.1	OG0002750	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00945	FGRAMPH1_01G00945	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316016.1	OG0002752	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00959	FGRAMPH1_01G00959	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316022.1	OG0002755	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00961	FGRAMPH1_01G00961	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316023.1	OG0002756	ncbi_protein_id_via_unified_map	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00963	FGRAMPH1_01G00963	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316024.1	OG0002757	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00967	FGRAMPH1_01G00967	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316026.1	OG0004023	unified_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00969	FGRAMPH1_01G00969	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316027.1	OG0002758	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00979	FGRAMPH1_01G00979	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316032.1	OG0001342	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00983	FGRAMPH1_01G00983	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316034.1	OG0002761	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00987	FGRAMPH1_01G00987	1	essential	newlabel	lethal	lethal_phi_supported_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv	true	false				Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G00989	FGRAMPH1_01G00989	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316037.1	OG0002763	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01013	FGRAMPH1_01G01013	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316049.1	OG0001344	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01033	FGRAMPH1_01G01033	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316057.1	OG0001345	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01045	FGRAMPH1_01G01045	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316062.1	OG0001350	unified_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01091	FGRAMPH1_01G01091	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316086.1	OG0004026	ncbi_protein_id_via_unified_map	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01095	FGRAMPH1_01G01095	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316087.1	OG0001347	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01117	FGRAMPH1_01G01117	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316097.1	OG0002768	unified_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01161	FGRAMPH1_01G01161	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316117.1	OG0001473	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01163	FGRAMPH1_01G01163	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316118.1	OG0002772	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01181	FGRAMPH1_01G01181	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316127.1	OG0001532	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01223	FGRAMPH1_01G01223	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316148.1	OG0002776	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01245	FGRAMPH1_01G01245	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316158.1	OG0002377	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01247	FGRAMPH1_01G01247	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316159.1	OG0003831	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01257	FGRAMPH1_01G01257	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316164.1	OG0001268	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01277	FGRAMPH1_01G01277	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316173.1	OG0002378	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01289	FGRAMPH1_01G01289	1	essential	newlabel	lethal;weak_positive	lethal_plus_high_confidence_yeast_transfer	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv	true	true	XP_011316178.1	OG0002379	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01291	FGRAMPH1_01G01291	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316179.1	OG0002380	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01293	FGRAMPH1_01G01293	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316180.1	OG0002381	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01299	FGRAMPH1_01G01299	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316183.1	OG0002382	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01385	FGRAMPH1_01G01385	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316222.1	OG0001721	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01397	FGRAMPH1_01G01397	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316228.1	OG0001088	unified_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01421	FGRAMPH1_01G01421	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316239.1	OG0001723	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01423	FGRAMPH1_01G01423	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316240.1	OG0001724	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01429	FGRAMPH1_01G01429	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316243.1	OG0001726	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01433	FGRAMPH1_01G01433	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316245.1	OG0001727	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01435	FGRAMPH1_01G01435	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316246.1	OG0001089	unified_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01439	FGRAMPH1_01G01439	1	essential	newlabel	lethal	lethal_phi_supported_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv	true	false				Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01443	FGRAMPH1_01G01443	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316250.1	OG0001729	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01445	FGRAMPH1_01G01445	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316251.1	OG0001730	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01449	FGRAMPH1_01G01449	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316253.1	OG0001731	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01519	FGRAMPH1_01G01519	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316285.1	OG0002000	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01521	FGRAMPH1_01G01521	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316286.1	OG0002427	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01549	FGRAMPH1_01G01549	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316300.1	OG0002429	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01551	FGRAMPH1_01G01551	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316301.1	OG0002430	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01591	FGRAMPH1_01G01591	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316320.1	OG0001896	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01601	FGRAMPH1_01G01601	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316325.1	OG0001897	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01625	FGRAMPH1_01G01625	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316337.1	OG0001900	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01627	FGRAMPH1_01G01627	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316338.1	OG0001901	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01631	FGRAMPH1_01G01631	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316340.1	OG0001902	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01663	FGRAMPH1_01G01663	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316353.1	OG0001905	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01693	FGRAMPH1_01G01693	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316368.1	OG0003094	exact_sequence_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01705	FGRAMPH1_01G01705	1	essential	newlabel	lethal;weak_positive	lethal_plus_high_confidence_yeast_transfer	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv	true	true	XP_011316374.1	OG0001426	exact_sequence_plus_unified_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
fgraminearum::FGRAMPH1_01G01707	FGRAMPH1_01G01707	1	essential	newlabel	weak_positive	high_confidence_yeast_transfer_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	false	true	XP_011316375.1	OG0004174	unified_plus_fgsg_support	Included in the rebuilt canonical newlabel positive set after protocolized bridge reconstruction.
