ph1_gene_id	orthogroup_id	has_scer_essential_ortholog	has_spom_essential_ortholog	has_any_yeast_essential	scer_essential_gene_ids	spom_essential_gene_ids	fg_occupancy_18	fg_presence_count_18	fg_mean_copy_18	fg_median_copy_18	fg_max_copy_18	fg_single_copy_fraction_18	is_strict_core_18	is_exact_single_copy_core_18	yeast_essential_support_class	weak_positive_confidence
XP_011324508.1	OG0000018	0	1	1	NA	SPBC119.17.1:pep	1.0000	18	2.0556	2.0	4	0.2222	1	0	spom_only	low
XP_011324511.1	OG0000018	0	1	1	NA	SPBC119.17.1:pep	1.0000	18	2.0556	2.0	4	0.2222	1	0	spom_only	low
XP_011324708.1	OG0000019	0	0	0	NA	NA	1.0000	18	2.1667	2.0	5	0.4444	1	0	none	none
XP_011324709.1	OG0000019	0	0	0	NA	NA	1.0000	18	2.1667	2.0	5	0.4444	1	0	none	none
XP_011325275.1	OG0000020	0	0	0	NA	NA	1.0000	18	2.2222	2.5	3	0.2778	1	0	none	none
XP_011325276.1	OG0000020	0	0	0	NA	NA	1.0000	18	2.2222	2.5	3	0.2778	1	0	none	none
XP_011327404.1	OG0000020	0	0	0	NA	NA	1.0000	18	2.2222	2.5	3	0.2778	1	0	none	none
XP_011328033.1	OG0000021	0	0	0	NA	NA	1.0000	18	2.1667	2.0	4	0.2222	1	0	none	none
XP_011328034.1	OG0000021	0	0	0	NA	NA	1.0000	18	2.1667	2.0	4	0.2222	1	0	none	none
XP_011322976.1	OG0000022	0	0	0	NA	NA	1.0000	18	2.2222	3.0	3	0.3333	1	0	none	none
XP_011322977.1	OG0000022	0	0	0	NA	NA	1.0000	18	2.2222	3.0	3	0.3333	1	0	none	none
XP_011322978.1	OG0000022	0	0	0	NA	NA	1.0000	18	2.2222	3.0	3	0.3333	1	0	none	none
XP_011328298.1	OG0000023	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2222	1	0	none	none
XP_011328300.1	OG0000023	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2222	1	0	none	none
XP_011317563.1	OG0000024	0	0	0	NA	NA	1.0000	18	2.1111	2.0	3	0.2222	1	0	none	none
XP_011328053.1	OG0000024	0	0	0	NA	NA	1.0000	18	2.1111	2.0	3	0.2222	1	0	none	none
XP_011328054.1	OG0000024	0	0	0	NA	NA	1.0000	18	2.1111	2.0	3	0.2222	1	0	none	none
XP_011317233.1	OG0000025	1	1	1	YFR002W	SPCC1620.11.1:pep	1.0000	18	1.9444	2.0	3	0.2222	1	0	both	low
XP_011317234.1	OG0000025	1	1	1	YFR002W	SPCC1620.11.1:pep	1.0000	18	1.9444	2.0	3	0.2222	1	0	both	low
XP_011324127.1	OG0000026	1	1	1	YDR196C	SPCC14G10.01.1:pep	1.0000	18	2.0556	2.0	3	0.3889	1	0	both	low
XP_011324128.1	OG0000026	1	1	1	YDR196C	SPCC14G10.01.1:pep	1.0000	18	2.0556	2.0	3	0.3889	1	0	both	low
XP_011324129.1	OG0000026	1	1	1	YDR196C	SPCC14G10.01.1:pep	1.0000	18	2.0556	2.0	3	0.3889	1	0	both	low
XP_011326956.1	OG0000027	0	1	1	NA	SPBC887.13c.1:pep	0.9444	17	1.9444	2.0	4	0.2778	0	0	spom_only	low
XP_011326957.1	OG0000027	0	1	1	NA	SPBC887.13c.1:pep	0.9444	17	1.9444	2.0	4	0.2778	0	0	spom_only	low
XP_011317844.1	OG0000028	1	0	1	YKL141W	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	scer_only	low
XP_011328790.1	OG0000028	1	0	1	YKL141W	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	scer_only	low
XP_011327881.1	OG0000029	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2222	1	0	none	none
XP_011327882.1	OG0000029	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2222	1	0	none	none
XP_011316840.1	OG0000030	0	0	0	NA	NA	1.0000	18	2.0556	1.5	4	0.5000	1	0	none	none
XP_011322013.1	OG0000031	0	0	0	NA	NA	0.8333	15	2.1111	2.0	4	0.1111	0	0	none	none
XP_011324548.1	OG0000031	0	0	0	NA	NA	0.8333	15	2.1111	2.0	4	0.1111	0	0	none	none
XP_011319025.1	OG0000032	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011319026.1	OG0000032	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011327902.1	OG0000033	1	1	1	YIL129C	SPBP19A11.04c.1:pep	1.0000	18	1.8889	2.0	3	0.2222	1	0	both	low
XP_011327903.1	OG0000033	1	1	1	YIL129C	SPBP19A11.04c.1:pep	1.0000	18	1.8889	2.0	3	0.2222	1	0	both	low
XP_011319124.1	OG0000034	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.5000	1	0	none	none
XP_011319125.1	OG0000034	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.5000	1	0	none	none
XP_011319126.1	OG0000034	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.5000	1	0	none	none
XP_011316668.1	OG0000035	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011316670.1	OG0000035	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011316673.1	OG0000036	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011316674.1	OG0000036	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011326907.1	OG0000037	0	1	1	NA	SPBP8B7.03c.1:pep	1.0000	18	1.8889	2.0	3	0.2222	1	0	spom_only	low
XP_011326908.1	OG0000037	0	1	1	NA	SPBP8B7.03c.1:pep	1.0000	18	1.8889	2.0	3	0.2222	1	0	spom_only	low
XP_011326858.1	OG0000038	1	1	1	YKR063C	SPBC16C6.12c.1:pep	1.0000	18	1.7778	1.0	4	0.6111	1	0	both	low
XP_011326859.1	OG0000038	1	1	1	YKR063C	SPBC16C6.12c.1:pep	1.0000	18	1.7778	1.0	4	0.6111	1	0	both	low
XP_011326860.1	OG0000038	1	1	1	YKR063C	SPBC16C6.12c.1:pep	1.0000	18	1.7778	1.0	4	0.6111	1	0	both	low
XP_011320018.1	OG0000039	0	1	1	NA	SPAC13G7.10.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011320019.1	OG0000039	0	1	1	NA	SPAC13G7.10.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011328245.1	OG0000040	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011328246.1	OG0000040	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011327829.1	OG0000041	0	1	1	NA	SPBC776.10c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011327830.1	OG0000041	0	1	1	NA	SPBC776.10c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011317878.1	OG0000042	1	1	1	YBR198C	SPBC15D4.14.1:pep;SPCC5E4.03c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011317879.1	OG0000042	1	1	1	YBR198C	SPBC15D4.14.1:pep;SPCC5E4.03c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011318767.1	OG0000043	1	0	1	YOL120C	NA	1.0000	18	1.7222	2.0	2	0.2778	1	0	scer_only	low
XP_011318768.1	OG0000043	1	0	1	YOL120C	NA	1.0000	18	1.7222	2.0	2	0.2778	1	0	scer_only	low
XP_011316229.1	OG0000044	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011316230.1	OG0000044	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011326851.1	OG0000045	1	1	1	YNL189W	SPBC1604.08c.1:pep;SPCC962.03c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011326852.1	OG0000045	1	1	1	YNL189W	SPBC1604.08c.1:pep;SPCC962.03c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011326272.1	OG0000046	1	0	1	YDL004W	NA	1.0000	18	1.9444	2.0	3	0.4444	1	0	scer_only	low
XP_011326273.1	OG0000046	1	0	1	YDL004W	NA	1.0000	18	1.9444	2.0	3	0.4444	1	0	scer_only	low
XP_011326274.1	OG0000046	1	0	1	YDL004W	NA	1.0000	18	1.9444	2.0	3	0.4444	1	0	scer_only	low
XP_011315983.1	OG0000047	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011315984.1	OG0000047	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011316443.1	OG0000048	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011316444.1	OG0000048	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011316761.1	OG0000049	0	1	1	NA	SPBC1289.02c.1:pep	1.0000	18	1.8333	2.0	3	0.2222	1	0	spom_only	low
XP_011316762.1	OG0000049	0	1	1	NA	SPBC1289.02c.1:pep	1.0000	18	1.8333	2.0	3	0.2222	1	0	spom_only	low
XP_011316763.1	OG0000049	0	1	1	NA	SPBC1289.02c.1:pep	1.0000	18	1.8333	2.0	3	0.2222	1	0	spom_only	low
XP_011327373.1	OG0000051	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011327374.1	OG0000051	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011320705.1	OG0000052	0	0	0	NA	NA	0.9444	17	2.0000	2.0	4	0.2222	0	0	none	none
XP_011328859.1	OG0000052	0	0	0	NA	NA	0.9444	17	2.0000	2.0	4	0.2222	0	0	none	none
XP_011318102.1	OG0000053	0	0	0	NA	NA	1.0000	18	2.0000	2.0	5	0.3889	1	0	none	none
XP_011326044.1	OG0000053	0	0	0	NA	NA	1.0000	18	2.0000	2.0	5	0.3889	1	0	none	none
XP_011326045.1	OG0000053	0	0	0	NA	NA	1.0000	18	2.0000	2.0	5	0.3889	1	0	none	none
XP_011320226.1	OG0000054	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011320227.1	OG0000054	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011319861.1	OG0000055	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011319862.1	OG0000055	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011325781.1	OG0000056	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2222	1	0	none	none
XP_011325783.1	OG0000056	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2222	1	0	none	none
XP_011323986.1	OG0000057	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011323987.1	OG0000057	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011317120.1	OG0000058	0	1	1	NA	SPBC24C6.03.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011317121.1	OG0000058	0	1	1	NA	SPBC24C6.03.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011328042.1	OG0000059	1	1	1	YER127W;YKR025W	SPAC18B11.06.1:pep;SPCC330.13.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011328043.1	OG0000059	1	1	1	YER127W;YKR025W	SPAC18B11.06.1:pep;SPCC330.13.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011321169.1	OG0000060	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011328017.1	OG0000060	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011326439.1	OG0000061	1	1	1	YFR005C;YLR222C	SPBC577.07.1:pep;SPCC16A11.02.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011326440.1	OG0000061	1	1	1	YFR005C;YLR222C	SPBC577.07.1:pep;SPCC16A11.02.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011320054.1	OG0000062	1	0	1	YBR136W	NA	1.0000	18	1.8889	1.0	5	0.5556	1	0	scer_only	low
XP_011320055.1	OG0000062	1	0	1	YBR136W	NA	1.0000	18	1.8889	1.0	5	0.5556	1	0	scer_only	low
XP_011328461.1	OG0000063	0	1	1	NA	SPAC4F10.03c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011328462.1	OG0000063	0	1	1	NA	SPAC4F10.03c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011328382.1	OG0000064	0	1	1	NA	SPAC3G9.10c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011328384.1	OG0000064	0	1	1	NA	SPAC3G9.10c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011325292.1	OG0000065	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011325293.1	OG0000065	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011324176.1	OG0000066	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011324177.1	OG0000066	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011323817.1	OG0000067	0	1	1	NA	SPBC1861.08c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011323818.1	OG0000067	0	1	1	NA	SPBC1861.08c.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	spom_only	low
XP_011316103.1	OG0000068	1	1	1	YOR004W	SPCC18.12c.1:pep	1.0000	18	1.8889	2.0	3	0.2778	1	0	both	low
XP_011316104.1	OG0000068	1	1	1	YOR004W	SPCC18.12c.1:pep	1.0000	18	1.8889	2.0	3	0.2778	1	0	both	low
XP_011315937.1	OG0000069	0	1	1	NA	SPBC28F2.06c.1:pep	1.0000	18	1.7778	2.0	3	0.2778	1	0	spom_only	low
XP_011315938.1	OG0000069	0	1	1	NA	SPBC28F2.06c.1:pep	1.0000	18	1.7778	2.0	3	0.2778	1	0	spom_only	low
XP_011328175.1	OG0000070	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011328176.1	OG0000070	0	0	0	NA	NA	1.0000	18	2.0000	2.0	3	0.2222	1	0	none	none
XP_011327909.1	OG0000071	1	1	1	YOR160W	SPBC11G11.07.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011327910.1	OG0000071	1	1	1	YOR160W	SPBC11G11.07.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011323584.1	OG0000072	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011323585.1	OG0000072	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011324559.1	OG0000073	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011324560.1	OG0000073	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011316830.1	OG0000074	0	0	0	NA	NA	1.0000	18	1.8889	2.0	3	0.4444	1	0	none	none
XP_011316831.1	OG0000074	0	0	0	NA	NA	1.0000	18	1.8889	2.0	3	0.4444	1	0	none	none
XP_011315606.1	OG0000075	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.3889	1	0	none	none
XP_011315607.1	OG0000075	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.3889	1	0	none	none
XP_011323123.1	OG0000075	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.3889	1	0	none	none
XP_011328748.1	OG0000076	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2222	1	0	none	none
XP_011328750.1	OG0000076	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2222	1	0	none	none
XP_011327867.1	OG0000077	0	0	0	NA	NA	1.0000	18	1.8333	2.0	3	0.2778	1	0	none	none
XP_011327868.1	OG0000077	0	0	0	NA	NA	1.0000	18	1.8333	2.0	3	0.2778	1	0	none	none
XP_011325235.1	OG0000078	0	0	0	NA	NA	0.8333	15	1.9444	1.5	5	0.3333	0	0	none	none
XP_011325236.1	OG0000078	0	0	0	NA	NA	0.8333	15	1.9444	1.5	5	0.3333	0	0	none	none
XP_011325237.1	OG0000078	0	0	0	NA	NA	0.8333	15	1.9444	1.5	5	0.3333	0	0	none	none
XP_011328670.1	OG0000078	0	0	0	NA	NA	0.8333	15	1.9444	1.5	5	0.3333	0	0	none	none
XP_011324320.1	OG0000079	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011324321.1	OG0000079	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011322107.1	OG0000080	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011322729.1	OG0000080	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011322730.1	OG0000080	0	0	0	NA	NA	1.0000	18	1.9444	2.0	3	0.2778	1	0	none	none
XP_011316958.1	OG0000081	1	1	1	YDL043C	SPBC21C3.05.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011316959.1	OG0000081	1	1	1	YDL043C	SPBC21C3.05.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011324567.1	OG0000082	1	1	1	YDR454C	SPBC1198.05.1:pep	1.0000	18	1.8333	2.0	4	0.2778	1	0	both	low
XP_011325139.1	OG0000082	1	1	1	YDR454C	SPBC1198.05.1:pep	1.0000	18	1.8333	2.0	4	0.2778	1	0	both	low
XP_011320655.1	OG0000083	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011320656.1	OG0000083	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011318004.1	OG0000084	1	1	1	YPR025C	SPBP16F5.02.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011318005.1	OG0000084	1	1	1	YPR025C	SPBP16F5.02.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011320061.1	OG0000085	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011324233.1	OG0000085	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011324967.1	OG0000086	1	1	1	YDR188W;YOL022C	SPBC646.11.1:pep	1.0000	18	1.7222	2.0	2	0.2778	1	0	both	low
XP_011324968.1	OG0000086	1	1	1	YDR188W;YOL022C	SPBC646.11.1:pep	1.0000	18	1.7222	2.0	2	0.2778	1	0	both	low
XP_011319750.1	OG0000087	1	1	1	YFL017C	SPAC16E8.03.1:pep	1.0000	18	1.8333	2.0	3	0.3333	1	0	both	low
XP_011321044.1	OG0000087	1	1	1	YFL017C	SPAC16E8.03.1:pep	1.0000	18	1.8333	2.0	3	0.3333	1	0	both	low
XP_011321016.1	OG0000088	1	0	1	YKL088W	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	scer_only	low
XP_011321017.1	OG0000088	1	0	1	YKL088W	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	scer_only	low
XP_011316170.1	OG0000089	1	1	1	YBR011C	SPAC23C11.05.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011319388.1	OG0000089	1	1	1	YBR011C	SPAC23C11.05.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011326261.1	OG0000090	0	0	0	NA	NA	1.0000	18	1.8333	2.0	3	0.2222	1	0	none	none
XP_011326262.1	OG0000090	0	0	0	NA	NA	1.0000	18	1.8333	2.0	3	0.2222	1	0	none	none
XP_011320230.1	OG0000091	0	0	0	NA	NA	1.0000	18	1.7222	2.0	2	0.2778	1	0	none	none
XP_011320231.1	OG0000091	0	0	0	NA	NA	1.0000	18	1.7222	2.0	2	0.2778	1	0	none	none
XP_011324245.1	OG0000092	0	1	1	NA	SPAC56F8.07.1:pep	1.0000	18	1.8889	2.0	3	0.3333	1	0	spom_only	low
XP_011324246.1	OG0000092	0	1	1	NA	SPAC56F8.07.1:pep	1.0000	18	1.8889	2.0	3	0.3333	1	0	spom_only	low
XP_011323762.1	OG0000093	0	0	0	NA	NA	1.0000	18	1.7778	2.0	3	0.4444	1	0	none	none
XP_011323763.1	OG0000093	0	0	0	NA	NA	1.0000	18	1.7778	2.0	3	0.4444	1	0	none	none
XP_011327785.1	OG0000094	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011327786.1	OG0000094	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011316137.1	OG0000095	1	1	1	YPR178W	SPAC227.12.1:pep;SPBC32F12.06.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011316138.1	OG0000095	1	1	1	YPR178W	SPAC227.12.1:pep;SPBC32F12.06.1:pep	1.0000	18	1.7778	2.0	2	0.2222	1	0	both	low
XP_011318465.1	OG0000096	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011318466.1	OG0000096	0	0	0	NA	NA	1.0000	18	1.7778	2.0	2	0.2222	1	0	none	none
XP_011318659.1	OG0000097	1	1	1	YLL036C	SPAC29A4.08c.1:pep	0.9444	17	1.8333	2.0	3	0.1667	0	0	both	low
