canonical_gene_id	graph_gene_id	label	construction_bucket	support_source	primary_source_key	yeast_support_class	has_yeast_transfer_support	has_phi_essential_lethal_support	is_old_positive	supporting_orthogroup_ids	orthogroup_stage_detail	supporting_xp_ids	scer_essential_gene_ids	spom_essential_gene_ids	bridge_methods	mapped_fusarium_gene	final_label_class	supporting_evidence_flags	source_manifest
fgraminearum::FGRAMPH1_01G05339	FGRAMPH1_01G05339	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G05339	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G05981	FGRAMPH1_01G05981	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G05981	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G06047	FGRAMPH1_01G06047	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G06047	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G07261	FGRAMPH1_01G07261	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G07261	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G07327	FGRAMPH1_01G07327	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	False		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G07327	Essential (positive)	phi_base_essential_lethal	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G07915	FGRAMPH1_01G07915	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G07915	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G08153	FGRAMPH1_01G08153	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G08153	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G08281	FGRAMPH1_01G08281	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G08281	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G09029	FGRAMPH1_01G09029	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G09029	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G09259	FGRAMPH1_01G09259	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G09259	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G09815	FGRAMPH1_01G09815	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G09815	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G10041	FGRAMPH1_01G10041	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G10041	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G10185	FGRAMPH1_01G10185	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G10185	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G10979	FGRAMPH1_01G10979	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G10979	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G13457	FGRAMPH1_01G13457	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G13457	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G14519	FGRAMPH1_01G14519	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G14519	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G14769	FGRAMPH1_01G14769	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G14769	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G14849	FGRAMPH1_01G14849	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G14849	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G16119	FGRAMPH1_01G16119	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G16119	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G16349	FGRAMPH1_01G16349	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G16349	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G16511	FGRAMPH1_01G16511	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G16511	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G17489	FGRAMPH1_01G17489	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G17489	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G17579	FGRAMPH1_01G17579	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G17579	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G17801	FGRAMPH1_01G17801	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G17801	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G18115	FGRAMPH1_01G18115	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G18115	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G18221	FGRAMPH1_01G18221	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G18221	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G18735	FGRAMPH1_01G18735	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G18735	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G18903	FGRAMPH1_01G18903	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G18903	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G19491	FGRAMPH1_01G19491	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G19491	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G20403	FGRAMPH1_01G20403	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G20403	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G20581	FGRAMPH1_01G20581	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G20581	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G23607	FGRAMPH1_01G23607	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G23607	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G24473	FGRAMPH1_01G24473	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G24473	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G24753	FGRAMPH1_01G24753	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G24753	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G24969	FGRAMPH1_01G24969	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G24969	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G25825	FGRAMPH1_01G25825	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G25825	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G25957	FGRAMPH1_01G25957	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G25957	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G25993	FGRAMPH1_01G25993	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G25993	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G26211	FGRAMPH1_01G26211	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G26211	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G27169	FGRAMPH1_01G27169	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G27169	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G28259	FGRAMPH1_01G28259	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G28259	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G28281	FGRAMPH1_01G28281	1	lethal_phi_supported_positive	PHI-base essential/lethal	phi		False	True	True		Direct PHI evidence (no yeast orthogroup)					fgraminearum::FGRAMPH1_01G28281	Essential (positive)	phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G00879	FGRAMPH1_01G00879	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0002744	OG0002744	XP_011315985.1	YPL190C		exact_sequence_plus_fgsg_support	fgraminearum::FGRAMPH1_01G00879	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G01033	FGRAMPH1_01G01033	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001345	OG0001345	XP_011316057.1	YOL040C		exact_sequence_plus_unified_support	fgraminearum::FGRAMPH1_01G01033	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G01385	FGRAMPH1_01G01385	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	True	OG0001721	OG0001721	XP_011316222.1	YFR028C		exact_sequence_plus_fgsg_support	fgraminearum::FGRAMPH1_01G01385	Essential (positive)	yeast_transfer;old_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G01397	FGRAMPH1_01G01397	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001088	OG0001088	XP_011316228.1	YPL169C		unified_plus_fgsg_support	fgraminearum::FGRAMPH1_01G01397	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G01443	FGRAMPH1_01G01443	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001729	OG0001729	XP_011316250.1	YBL004W		exact_sequence_plus_fgsg_support	fgraminearum::FGRAMPH1_01G01443	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G01445	FGRAMPH1_01G01445	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001730	OG0001730	XP_011316251.1	YNL310C		exact_sequence_plus_fgsg_support	fgraminearum::FGRAMPH1_01G01445	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G01631	FGRAMPH1_01G01631	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001902	OG0001902	XP_011316340.1	YBR233W-A		exact_sequence_plus_fgsg_support	fgraminearum::FGRAMPH1_01G01631	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02089	FGRAMPH1_01G02089	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001211	OG0001211	XP_011316551.1	YKL089W		unified_plus_fgsg_support	fgraminearum::FGRAMPH1_01G02089	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02115	FGRAMPH1_01G02115	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0000838	OG0000838	XP_011316565.1	YLR029C		exact_sequence_plus_unified_support	fgraminearum::FGRAMPH1_01G02115	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02181	FGRAMPH1_01G02181	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	True	OG0001209	OG0001209	XP_011316598.1	YDR353W		exact_sequence_plus_unified_support	fgraminearum::FGRAMPH1_01G02181	Essential (positive)	yeast_transfer;old_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02183	FGRAMPH1_01G02183	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0002137	OG0002137	XP_011316599.1	YDL103C		exact_sequence_plus_unified_support	fgraminearum::FGRAMPH1_01G02183	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02193	FGRAMPH1_01G02193	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0002140	OG0002140	XP_011316604.1	YGL171W		ncbi_protein_id_via_unified_map	fgraminearum::FGRAMPH1_01G02193	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02345	FGRAMPH1_01G02345	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	True	OG0002106	OG0002106	XP_011316671.1	YNL222W		unified_plus_fgsg_support	fgraminearum::FGRAMPH1_01G02345	Essential (positive)	yeast_transfer;old_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02587	FGRAMPH1_01G02587	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0003133	OG0003133	XP_011316787.1	YDL212W		exact_sequence_plus_fgsg_support	fgraminearum::FGRAMPH1_01G02587	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02817	FGRAMPH1_01G02817	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001439	OG0001439	XP_011316900.1	YEL058W		exact_sequence_plus_fgsg_support	fgraminearum::FGRAMPH1_01G02817	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02939	FGRAMPH1_01G02939	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001687	OG0001687	XP_011316957.1	YER006W		exact_sequence_plus_unified_support	fgraminearum::FGRAMPH1_01G02939	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G02967	FGRAMPH1_01G02967	1	lethal_plus_high_confidence_yeast_transfer	S. cerevisiae only	scer_only	scer_only	True	True	True	OG0003611	OG0003611	XP_011316971.1	YOR259C		exact_sequence_plus_fgsg_support	fgraminearum::FGRAMPH1_01G02967	Essential (positive)	yeast_transfer;phi_base_essential_lethal;old_positive	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv
fgraminearum::FGRAMPH1_01G03055	FGRAMPH1_01G03055	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	True	OG0001044	OG0001044	XP_011317009.1	YJL005W		ncbi_protein_id_via_unified_map	fgraminearum::FGRAMPH1_01G03055	Essential (positive)	yeast_transfer;old_positive	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G03175	FGRAMPH1_01G03175	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001668	OG0001668	XP_011317063.1	YGL122C		exact_sequence_plus_fgsg_support	fgraminearum::FGRAMPH1_01G03175	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
fgraminearum::FGRAMPH1_01G03267	FGRAMPH1_01G03267	1	high_confidence_yeast_transfer_positive	S. cerevisiae only	scer_only	scer_only	True	False	False	OG0001742	OG0001742	XP_011317108.1	YDR510W		unified_plus_fgsg_support	fgraminearum::FGRAMPH1_01G03267	Essential (positive)	yeast_transfer	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv
